<abbrev>def.</abbrev> związków frazeologicznych brzmi: „ogół połączeń wyrazowych występujących w danym języku i	definicja <sep> definicja
de Fischtaminel, który wstąpił do wojska jako <abbrev>ppor.</abbrev> w r. 1809, mając lat osiemnaście, nie posiadł innego wykształcenia, jak tylko to, które mieści się	podporucznik <sep> podporucznik
Miasta Jastarni z dnia 25.03.2010r. w sprawie ogłoszenia wykazu nieruchomości stanowiących <abbrev>wł.</abbrev> komunalną, przeznaczonych do sprzedaży w drodze przetargu nieograniczonego 2012-10-01	własność <sep> własność
osoba w uprzemysłowionych regionach świata płaci dzisiaj <abbrev>ok.</abbrev> jedną trzecią swoich dochodów jako „haracz” na rzecz tego kartelu. Z początkiem XXI wieku kartel	około <sep> około
okienek w tarczy oraz oddzielnych dysków nałożonych na siebie w odstępie zaledwie 0.15 <abbrev>mm</abbrev>. Korekty dokonuje się przyciskiem z boku koperty, umieszczonym na wysokości godziny „dziesiątej”.	milimetra <sep> milimetr
czas, kiedy lokalne władze często korzystając z unijnych pieniędzy, budowali przede wszystkim <abbrev>pl.</abbrev> zabaw i tym podobne miejsca skierowane przede wszystkim dla dzieci i młodzieży. Ostatnimi czasy	place <sep> plac
co działo się na murawie? Pewnie wiecie lepiej od nas, wszak m<abbrev>H</abbrev> nie mogliśmy liczyć na telewizyjne powtórki i analizę wszystkich akcji klatka po klatce. W	y <sep> y
przedstawiono wiele pomocnych rad dotyczących życia w Norwegii. Pozwoliło to dowiedzieć się o <abbrev>norw.</abbrev> kulturze i obyczajach, a także zaaklimatyzować się na obczyźnie. Koordynatorki niejednokrotnie	norweskiej <sep> norweski
Zagłębie Lubin grało w Pucharze Intertoto z SV Ried. Ojciec był wtedy asystentem trenera, znał <abbrev>niem.</abbrev>, a w Ried była fabryka rakiet Fishera i szkółka dla juniorów. Jakoś zagadał i załatwił mi z nimi	niemiecki <sep> niemiecki
miał drugi przewód, który zamknie ci obwód.. dobrze by było jakbyś zapoznał się z grubsza z jakąś <abbrev>lit.</abbrev> na temat podstaw elektroniki (zacznij od symboli na schemacie..)	literaturą <sep> literatura
